"","PN09816PM"
"","Índice de precios Lima Metropolitana (var% mensual) - IPC Alimentos y Energía"
Ene00,-0.184169351480451
Feb00,0.68181834726662
Mar00,0.554195093273472
Abr00,0.446406006105367
May00,-0.184082802218062
Jun00,0.00012397461357467
Jul00,0.657050063465047
Ago00,0.63014782628091
Sep00,0.641302115993805
Oct00,0.232595547292167
Nov00,-0.287405288922961
Dic00,-0.0136493756646464
Ene01,0.245965710506969
Feb01,0.340543725634523
Mar01,0.559668477929283
Abr01,-0.957031558602952
May01,-0.0346850995873592
Jun01,-0.203628097552421
Jul01,0.211412456404413
Ago01,-0.485180617241656
Sep01,0.149286122994616
Oct01,0.044820884263338
Nov01,-0.841370301778887
Dic01,-0.370113101609184
Ene02,-0.99747356017975
Feb02,-0.0795599757165636
Mar02,0.812283225067221
Abr02,1.24245391364398
May02,0.131000586184155
Jun02,-0.444334576375089
Jul02,-0.135606540395986
Ago02,0.0447714711489543
Sep02,0.909781068153619
Oct02,1.28640473341578
Nov02,-0.805471594527269
Dic02,-0.0363642538559979
Ene03,0.506053876173379
Feb03,0.722192415139084
Mar03,0.357386451012414
Abr03,-0.265865245025544
May03,-0.139973293292551
Jun03,-0.923490067353906
Jul03,-0.40446447036015
Ago03,-0.0400507988523345
Sep03,1.02434522199713
Oct03,0.193698944823159
Nov03,0.256361440905297
Dic03,0.898518706995298
Ene04,1.13240283947277
Feb04,1.88197346394216
Mar04,0.569242727581638
Abr04,0.0382238700884975
May04,0.642635124697046
Jun04,1.05434206051497
Jul04,0.264659566230499
Ago04,-0.0616552069404468
Sep04,0.0788034169179712
Oct04,-0.314304687315255
Nov04,0.25134771948459
Dic04,-0.102295401487207
Ene05,0.223476862434707
Feb05,-0.391025757434687
Mar05,0.801167698130538
Abr05,0.273967586490482
May05,0.0993127075004104
Jun05,0.568925424088085
Jul05,-0.0225140393116731
Ago05,-0.306425228243432
Sep05,-0.222617823756252
Oct05,0.107171346718455
Nov05,-0.0967282745040726
Dic05,0.498784843077362
Ene06,0.956663264815114
Feb06,0.989580456273568
Mar06,0.551885451007901
Abr06,0.718240677922883
May06,-0.856776768001324
Jun06,-0.144231380671471
Jul06,-0.600987662964853
Ago06,0.142182344683076
Sep06,0.0573082554012205
Oct06,0.0428525413456844
Nov06,-0.611298034378528
Dic06,-0.184247955722454
Ene07,0.131037109361687
Feb07,0.383840860076288
Mar07,0.393020545534687
Abr07,0.237444798083578
May07,0.856684542074092
Jun07,0.838697004154693
Jul07,0.624945633944645
Ago07,0.219356403696758
Sep07,0.987210813668328
Oct07,0.543475605246953
Nov07,0.098296286817309
Dic07,0.444356235448875
Ene08,0.518769942816068
Feb08,1.54354050060791
Mar08,1.52898821579756
Abr08,0.205240148579648
May08,0.427689524890035
Jun08,1.13324606064106
Jul08,0.730317623981358
Ago08,0.676212988784133
Sep08,0.305514351447169
Oct08,0.705160378604868
Nov08,0.146227599877455
Dic08,0.352889322139498
Ene09,0.227537586168148
Feb09,-0.404197993015453
Mar09,0.18703185626457
Abr09,-0.0551830282372957
May09,-0.0964795210813691
Jun09,-0.676164476023454
Jul09,0.201933866579323
Ago09,-0.366466601010029
Sep09,-0.186204304412685
Oct09,0.245143570802687
Nov09,-0.251151840971449
Dic09,0.315856508427183
Ene10,0.750210284942973
Feb10,0.741679200485333
Mar10,0.295777335436218
Abr10,-0.066797686281979
May10,0.321207776827971
Jun10,0.510010600990986
Jul10,0.587691252860663
Ago10,0.571234353508059
Sep10,-0.0845626984017203
Oct10,-0.514585476742492
Nov10,0.0290724760063129
Dic10,-0.19277176977377
Ene11,0.951043012632374
Feb11,0.647170887577012
Mar11,1.16301022880833
Abr11,1.13949724587166
May11,-0.195891679521623
Jun11,-0.0997859886733738
Jul11,1.53193877828649
Ago11,0.427601299916785
Sep11,0.433468205766239
Oct11,0.571840606259798
Nov11,0.789294770706715
Dic11,0.100842701139518
Ene12,-0.061941719124657
Feb12,0.633214043707339
Mar12,1.00099950718462
Abr12,0.783518087895555
May12,-0.188392440907967
Jun12,-0.239087057708637
Jul12,0.00612079519015187
Ago12,0.940772305735913
Sep12,1.23764767361647
Oct12,-0.308194923501126
Nov12,-0.381304683623091
Dic12,0.0891334808266856
Ene13,0.199814904703465
Feb13,-0.402429898978865
Mar13,0.848539181504461
Abr13,0.37617436962479
May13,0.245901507208467
Jun13,0.389903359482767
Jul13,0.870011742868379
Ago13,1.02520872335589
Sep13,0.144543162010162
Oct13,-0.0719309799065618
Nov13,-0.704405973142737
Dic13,-0.210854650884517
Ene14,0.663371603379897
Feb14,1.09455111603432
Mar14,0.212914643192448
Abr14,0.628183062384012
May14,0.321718171030199
Jun14,0.220234217557791
Jul14,0.665803613437843
Ago14,-0.150092061065517
Sep14,0.238900198776522
Oct14,0.682374692676095
Nov14,-0.475925470899874
Dic14,-0.0817622820593953
Ene15,0.366849298382013
Feb15,0.476234173136799
Mar15,0.596538123068542
Abr15,0.445503289630154
May15,0.937632688290169
Jun15,0.418547853077319
Jul15,0.2878911926585
Ago15,0.718170518108235
Sep15,-0.00702447051726105
Oct15,0.147385819185382
Nov15,0.602440552051882
Dic15,0.352853564276601
Ene16,0.881804469100947
Feb16,-0.223427362007696
Mar16,0.474847307507279
Abr16,-0.00607301495820004
May16,0.0783025367110874
Jun16,0.059557071510608
Jul16,-0.0436001789808053
Ago16,0.576180587120632
Sep16,0.317627691971623
Oct16,0.748933796523645
Nov16,0.457323297179475
Dic16,0.285980513860032
Ene17,0.463014178910765
Feb17,0.533160251787432
Mar17,1.83881882302363
Abr17,-0.64903238200935
May17,-0.995328604297041
Jun17,-0.406111337566781
Jul17,0.235018886557081
Ago17,1.00683668752047
Sep17,-0.0250335693724154
Oct17,-1.03352785951741
Nov17,-0.461013736501878
Dic17,-0.00423755495291393
Ene18,0.4282918862769
Feb18,0.383644788630752
Mar18,0.0618566793585029
Abr18,-0.312098877964072
May18,-0.157983621296146
Jun18,0.400987869552616
Jul18,0.512341351756043
Ago18,0.178486799926797
Sep18,0.365686238442999
Oct18,0.110675797413453
Nov18,0.187553571068501
Dic18,-0.00744320371399742
Ene19,0.07823856034835
Feb19,0.128482386436678
Mar19,0.384501712061012
Abr19,0.385353797956071
May19,0.154082760020971
Jun19,-0.21448081251837
Jul19,0.298257528767803
Ago19,-0.0321902206285011
Sep19,0.00644980477165231
Oct19,-0.0276881546085376
Nov19,0.191501584446692
Dic19,0.0711036067501774
Ene20,0.0371066762457067
Feb20,0.13359530687318
Mar20,0.911342426758198
Abr20,0.0125902640660494
May20,0.295189917944384
Jun20,-0.660442275130528
Jul20,0.976348675381054
